"ID","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.19911","count.19912","count.19913","count.99913","NUTS_ID"
1,802797,41796,151410,16448181,280639,19416792,438732,15567,82914,3478319,110586,1913503,0,0,0,0,"BA01"
2,0,0,0,3548364,90640,11617595,0,0,0,532425,8612,840282,0,0,0,0,"BA02"
3,238812,9945,585243,12850677,718063,24613105,0,0,0,510187,26233,535788,10809,13,50300,8089,"HR03"
