"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11121","count.11122","count.11123","count.11323","count.12121","count.12122","count.12123","count.12321","count.12322","count.12323","NUTS_ID"
1,906155,78829,4644342,32870,427,666898,5243,191,46170,6225494,1207595,19188992,304623,23855,3672593,32667,7171,186058,0,0,0,0,0,0,0,0,0,0,"HU31"
2,495827,24627,2019168,65309,619,253735,266,15,8679,630664,64051,1778859,149766,6551,392638,3336,144,25060,0,0,0,0,0,0,0,0,0,0,"SK04"
3,1361408,160796,5424173,173407,10353,895846,3787,98,18975,8062485,1387571,30460985,1098931,91988,6534164,45621,7268,234751,10749,1197,179492,1106,27010,138,629393,196,5,28620,"SK03"
