"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.31111","count.31112","count.31113","count.31911","count.31912","count.31913","NUTS_ID"
1,12235242,5737323,58756726,47510,3605,999885,163873,47786,855519,104241,37789,416780,8856,1814,40480,"LT02"
2,3222331,808135,16127933,10443,1821,221736,11840,1971,136361,0,0,0,0,0,0,"LV00"
