"ID","count.19913","count.92911","count.92912","count.92913","count.99911","count.99912","count.99913","count.11911","count.11912","count.11913","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.19911","count.19912","count.31911","count.31912","count.31913","count.32911","count.32912","count.32913","count.32921","count.32922","count.32923","count.91911","count.91912","count.91913","count.99993","NUTS_ID"
1,1420,188,6,26124,1263,13,44263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EL41"
2,46328,97023,16665,818239,5789,1846,121040,1097018,38686,9900272,3570771,298771,21154822,31499,39,36553,8385,1760,165867,12131,622219,2332326,647335,15653514,21568,25,15172,11706,895,93440,1964,"TR31"
3,9921,3868,776,80542,0,0,760,68328,2454,991987,1321818,285532,12700128,7078,7,6167,223,13,1914,99,5100,890156,146861,4083341,0,0,0,0,0,0,0,"TR32"
4,0,0,0,0,0,0,0,114737,1394,1194929,1198108,108165,8212081,0,0,0,0,0,0,0,0,95420,1714,320002,0,0,0,0,0,0,0,"TR33"
