"ID","count.11111","count.11112","count.11113","count.11131","count.11132","count.11133","count.11211","count.11212","count.11213","count.11231","count.11232","count.11233","count.11911","count.11912","count.11913","count.11931","count.11932","count.11933","count.12111","count.12112","count.12113","count.12133","count.12211","count.12212","count.12213","count.12231","count.12232","count.12233","count.12911","count.12912","count.12913","count.12931","count.12932","count.12933","count.12131","count.12132","count.31111","count.31112","count.31113","count.31211","count.31212","count.31213","count.31911","count.31913","count.32111","count.32112","count.32113","count.32211","count.32212","count.32213","NUTS_ID"
1,678619,3299,9944186,4563,3,213628,817222,9561,8000754,54078,1202,1602245,5119,241,162441,70,18,4907,46533,696,737993,3273,183683,4946,1514193,28683,770,509917,4947,246,78867,585,28,7453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ES52"
2,2439178,7315,11694539,148048,1202,909660,2431927,12514,8700402,176305,717,1147669,2628,60,19346,4773,184,69979,55760,151,418087,522228,295932,1793,1189172,29593,144,142462,685,10,9051,7295,58,43196,51792,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ES24"
3,2016062,10584,20024397,4098,42,179644,2169205,11295,12855618,37733,1719,2003111,9411,91,97892,1907,16,44647,231532,3511,2325396,1180,314792,2597,2101933,105,4,14504,1978,19,28458,9,0,4385,0,0,11487,143,218573,7230,280,62308,183,817,2016,113,35218,774,8,3400,"ES42"
