"NUTS_ID","NAME_LATN","NAME_ENGL","ISO3_CODE","calc_grass","non_calc_grass","grass_missing_data","all_grass","total_area"
"AT11","Burgenland","Austria","AUT",289.4191,223.4109,12.7909,525.6209,3965.3775
"AT33","Tirol","Austria","AUT",16.3703,3599.9225,93.3581,3709.6509,12651.0662
"AT34","Vorarlberg","Austria","AUT",0,926.2141,8.4027,934.6168,2619.0228
"BE22","Prov. Limburg (BE)","Belgium","BEL",0.7112,502.6789,17.6942,521.0843,2426.5739
"BG34","Yugoiztochen","Bulgaria","BGR",975.9765,2540.2683,196.8746,3713.1194,19799.9697
"BE23","Prov. Oost-Vlaanderen","Belgium","BEL",0,887.6723,14.1173,901.7896,3007.6094
"BE24","Prov. Vlaams-Brabant","Belgium","BEL",1.1305,520.3946,11.3934,532.9185,2119.5458
"BG41","Yugozapaden","Bulgaria","BGR",1387.0708,3555.6445,107.4674,5050.1827,20300.0541
"BE25","Prov. West-Vlaanderen","Belgium","BEL",0.2234,823.1712,37.6413,861.0359,3170.6748
"BE31","Prov. Brabant wallon","Belgium","BEL",0.3058,188.6409,5.7379,194.6846,1097.3007
"BE32","Prov. Hainaut","Belgium","BEL",40.8502,872.9867,18.387,932.2239,3812.7878
"BE10","Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest","Belgium","BEL",0,7.1502,0.9252,8.0754,161.7773
"BE21","Prov. Antwerpen","Belgium","BEL",0,727.0302,21.7602,748.7904,2871.8219
"BE33","Prov. Liège","Belgium","BEL",23.4791,1244.2813,15.5736,1283.334,3853.5958
"BG42","Yuzhen tsentralen","Bulgaria","BGR",888.9091,3718.6492,111.8544,4719.4127,22369.6953
"BE34","Prov. Luxembourg (BE)","Belgium","BEL",96.1677,1518.2191,7.0434,1621.4302,4461.8906
"BE35","Prov. Namur","Belgium","BEL",111.5906,877.5621,8.6262,997.7789,3677.4948
"AT12","Niederösterreich","Austria","AUT",535.7058,2403.7927,29.8948,2969.3933,19196.4411
"AT13","Wien","Austria","AUT",12.0635,11.0669,4.0236,27.154,414.0623
"AT21","Kärnten","Austria","AUT",24.0352,2252.2709,28.8985,2305.2046,9543.1649
"BG31","Severozapaden","Bulgaria","BGR",1219.5477,1818.2343,62.825,3100.607,19061.1567
"AT22","Steiermark","Austria","AUT",462.0635,3113.9849,36.0368,3612.0852,16413.6595
"BG32","Severen tsentralen","Bulgaria","BGR",1020.288,704.4132,43.2426,1767.9438,14818.2903
"AT31","Oberösterreich","Austria","AUT",58.9576,2773.9549,23.6356,2856.5481,11984.4503
"AT32","Salzburg","Austria","AUT",0,2328.5594,46.1707,2374.7301,7155.9073
"BG33","Severoiztochen","Bulgaria","BGR",1136.5511,636.3659,96.8776,1869.7946,14648.0217
"EL63","Dytiki Elláda","Greece","GRC",682.6699,1817.3524,210.4319,2710.4542,11316.0464
"EL41","Voreio Aigaio","Greece","GRC",78.441,279.0245,219.2378,576.7033,3849.5726
"DED4","Chemnitz","Germany","DEU",66.314,1309.5576,17.0434,1392.915,6525.3496
"DED5","Leipzig","Germany","DEU",62.7452,506.2345,32.7429,601.7226,3977.8385
"EL42","Notio Aigaio","Greece","GRC",60.7154,414.1645,763.9954,1238.8753,5282.9306
"EL43","Kriti","Greece","GRC",241.5257,683.0207,259.2752,1183.8216,8350.5286
"EL64","Sterea Elláda","Greece","GRC",1105.6624,1096.0863,236.4033,2438.152,15564.306
"DEE0","Sachsen-Anhalt","Germany","DEU",453.1028,2903.6545,115.8177,3472.575,20554.9596
"EL51","Anatoliki Makedonia, Thraki","Greece","GRC",356.6846,1562.494,132.694,2051.8726,14190.1065
"DEF0","Schleswig-Holstein","Germany","DEU",413.7343,4459.282,454.4993,5327.5156,15617.8755
