"ID","count.0","count.255","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19211","count.19212","count.19213","count.19911","count.19912","count.19913","count.91111","count.91112","count.91113","count.91211","count.91212","count.91213","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92211","count.92212","count.92213","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99211","count.99212","count.99213","count.99911","count.99912","count.99913","count.99991","count.99992","NUTS_ID"
1,3630156,1566,70776,3284,136,11197,94,23,33789,484,80,1072,27,2,2110,139,2,2982,86,7,4947,50,4,9111,417,25,2546,32,2,10799,175,29,2658,58,2,3141,53,9,1037,64,2,3525,44,7,2928,39,3,68613,552,177,3364,81,18,14993,484,29,460,1,"EL42"
2,943379,0,64650,79,114,1972,90,3,0,0,0,11096,16,56,2490,84,0,0,0,0,0,0,0,0,0,0,46,5,1,22525,10,49,2092,41,1,2642,2,2,1866,62,8,9161,111,11,11,0,0,527,4,2,1463,5,1,14029,3,16,0,0,"EL43"
