"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,51222434,6170472,2182132,8308,178947,34572,216,85968,7471,135,"PL41"
2,28278513,2437254,157454,2619,331021,22720,288,66517,6464,107,"PL42"
3,7303814,1142935,322587,1522,27565,900,27,6447,574,17,"PL43"
