"ID","count.0","count.11111","count.11113","count.11121","count.11123","count.11911","count.11913","count.11921","count.11922","count.11923","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.19921","count.19922","count.19923","count.91921","count.91922","count.91923","count.92921","count.92922","count.92923","count.11112","count.11122","count.11311","count.11312","count.11313","count.11912","count.12311","count.12312","count.12313","count.12321","count.12323","NUTS_ID"
1,20830032,17471,17,3448,2,1053,3,504138,10473,879,130150,1,194,432448,37,730,534327,3472,889,10860951,33831,18440,6349,571,21,871,740,1,938,5,1,0,0,0,0,0,0,0,0,0,0,0,"NO07"
2,42781678,284190,327,40024,57,3137,1,0,0,0,18364949,13450,28480,4295130,1326,6686,282775,694,318,99255,119,102,0,0,0,0,0,0,0,0,0,182,262,2040,6,1,48,378988,654,354,3253,1,"SE33"
