"ID","count.0","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11211","count.11212","count.11213","count.11311","count.11312","count.11313","count.11321","count.11322","count.11323","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12211","count.12212","count.12213","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.11221","count.11222","count.12321","count.12322","count.12323","count.19121","count.19122","count.19123","count.19921","count.19922","count.19923","count.31111","count.31112","count.31113","count.31121","count.31122","count.31123","count.31211","count.31212","count.31213","count.31311","count.31312","count.31313","count.31321","count.31322","count.31323","count.31911","count.31912","count.31913","count.31921","count.31922","count.31923","count.32121","count.32122","count.32123","count.32321","count.32322","count.32323","count.32921","count.32922","count.91111","count.91112","count.91113","count.91121","count.91122","count.91123","count.91321","count.91322","count.91323","count.91911","count.91912","count.91913","count.91921","count.91922","count.91923","count.99121","count.99122","count.99123","count.99921","count.99922","count.99923","NUTS_ID"
1,39440049,4552243,732480,687253,102771,11807,30075,23566,4079,1586,111281,36994,5986,117,50,1,77959,10422,8112,845,263,209,2188970,268933,130845,24700,1043,2306,7413,899,44,196516,57923,4121,33852,6214,872,350,6,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ES41"
2,36452665,5867343,1099828,453762,3317783,918434,265200,7446,3590,177,130581,13239,7760,84849,43694,2481,187245,45739,10776,70281,56213,7278,50685,5293,1820,73601,25964,3354,0,0,0,0,0,0,2914,307,238,426,1,4,956,413,4701,1382,100,3278,1007,8,150,193,4,244995,96948,1530,85068,32903,4375,803,3,2,1591,295,1,93,1844,6,3092,3740,17,2325,240,4,74899,37010,926,215,497,41,220,33,2204,3368,5,132788,77566,974,4381,4165,8,938,935,230,6070,5002,228,5657,8469,30,653,1295,56,"ES12"
