"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19311","count.19312","count.19313","count.19911","count.19912","count.19913","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99911","count.99912","count.99913","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.91111","count.91112","count.91113","count.91311","count.91312","count.91313","count.91911","count.91912","count.91913","count.91991","count.92391","count.92991","count.92992","count.92993","count.99311","count.99313","count.99991","NUTS_ID"
1,20591956,3113111,775405,259197,310979,104070,22405,137361,21421,33994,6183,567,329,284,34,2,5781,559,26,103735,27929,7394,11418,3591,530,117078,9910,18353,212,20,51,1978,51,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DK04"
2,24492941,3419263,1113837,242238,597617,223864,35545,232077,24343,34841,3044,1141,1981,307,51,45,2551,418,175,334949,32539,67231,67110,4151,9116,251442,4392,37348,1237,315,540,4386,179,1504,25094,8340,845,3976,1894,2,1271,854,80,6929,1934,453,1240,134,126,2790,393,811,9,172,562,1,1,436,1,8,"DK05"
