"ID","count.0","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19911","count.19912","count.19913","count.92111","count.92112","count.92113","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99911","count.99912","count.99913","count.92991","count.92992","NUTS_ID"
1,11197024,4652,1525,9,245,23,1,2,11,2549674,475488,35636,8190,488,5,14119,9999,7082,1069,3,275,681,69,216,22501,2723,4185,3384,2538,2637,208,1,25,297,9,62,0,0,"PL62"
2,1950367,0,0,0,0,0,0,0,0,133667,51936,486,0,0,0,14140,5068,970,690,5,124,542,2,473,12179,990,439,10063,2719,7552,102,2,42,1912,80,1406,459,2,"PL63"
