"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.12121","count.12122","count.12123","count.12321","count.12322","count.12323","NUTS_ID"
1,2711331,25650,1441,38,4146,292,2,146369,9706,198,0,0,0,0,0,0,0,0,0,"NO02"
2,21883978,29075,140,32,9294,15,5,1171644,205979,1503,103925,8247,176,0,0,0,0,0,0,"NO08"
3,6566188,213514,5364,282,232855,11116,266,19847,715,34,0,0,0,0,0,0,0,0,0,"SE23"
4,59743320,3762201,275454,4774,2424912,155985,2946,238543,15663,295,5,0,0,5325,13,7,3664,1,3,"SE31"
