"ID","count.0","count.11311","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","NUTS_ID"
1,1049536,163,134430,25176,81,28165,969,30,1780,85,2,0,0,0,"PL51"
2,60608554,0,5656556,2822891,10192,483620,145413,790,223234,27804,348,8202,5390,21,"PL41"
3,24580183,0,2588667,692662,3430,702077,100497,913,77168,20852,119,0,0,0,"PL43"
