"ID","count.0","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12312","count.12911","count.12912","count.12913","count.11211","count.11212","count.11213","count.12311","count.12211","count.12212","count.12213","count.12313","NUTS_ID"
1,11509311,1026176,283766,1655,4838,1591,4,3670,1576,5,304439,81714,401,159,24344,7050,43,0,0,0,0,0,0,0,0,"DE24"
2,32702750,3677554,1817758,6459,17805,13410,23,53911,12841,104,251910,118598,299,21,18107,3172,23,221,2549,1,364,0,0,0,0,"DE25"
3,32830764,1570690,706077,3105,9232,7707,28,50216,18873,100,275578,153111,496,1218,22460,11452,35,43737,18677,109,1698,2539,879,10,1,"DE26"
4,10919894,779406,562749,1841,3531,4674,1,6483,3874,13,814,2133,3,0,677,264,0,22893,12616,59,0,382,279,0,0,"DE11"
