"ID","count.0","count.11111","count.11112","count.11113","count.11311","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11312","NUTS_ID"
1,3774998,517151,16005,1113,210,4287,6,11,591440,24610,989,2018,22,3,30997,941,25,0,"BG41"
2,1666685,0,0,0,0,0,0,0,247154,33320,583,198,3294,4,56,2,0,0,"EL52"
3,70079454,6823,8,11,160,7184527,353203,15125,50460,307,40,1260,1,0,14507039,855923,29536,1,"MK00"
