"ID","count.0","count.12111","count.12112","count.12113","count.12121","count.12123","count.12311","count.12313","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12312","NUTS_ID"
1,4451397,2208979,12037,2083,5455,14,1560,2,9125,6,11,0,0,0,0,0,0,0,0,0,0,"RO31"
2,647286,315096,119,264,0,0,0,0,3488,0,9,0,0,0,0,0,0,0,0,0,0,"RO41"
3,55580684,32288467,2246590,50562,1795,2,1613236,3032,207851,27862,465,50901,15942,98,4832,2141,18,880,121,4,247586,"RO12"
