"ID","count.0","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11912","NUTS_ID"
1,32772855,36279,2963,58,16982,1122,21,134,2,6513224,783211,10840,2273563,218000,3775,189073,13942,220,0,"PL92"
2,24483612,46410,5623,71,35291,2884,56,4070,8,2429133,485449,5029,1947675,233514,3804,74441,14696,115,177,"PL71"
3,21112819,11822,689,16,22992,1384,71,142,0,4489614,419526,7231,1029260,75112,1974,184632,34081,280,33,"PL91"
