"ID","count.0","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.12111","count.12112","count.12113","count.12311","count.12312","count.12911","count.12912","count.12913","count.11911","count.11912","count.11913","count.12313","count.11211","count.11212","count.11213","NUTS_ID"
1,5945044,130545,1795,106,2425,46,3,773831,9398,862,1096,33,2807,13,5,0,0,0,0,0,0,0,"BG34"
2,177379,90541,101,37,0,0,0,215022,125,59,0,0,0,0,0,0,0,0,0,0,0,0,"BG42"
3,34407771,2875850,335786,4260,131318,13227,170,1143291,182333,1454,4833,512,44822,2884,58,32213,3626,49,11,0,0,0,"BG31"
4,46717332,5094131,587682,7274,72584,7871,87,726575,100791,684,2,6,19458,2320,24,113095,13277,156,0,902,7,1,"BG32"
