"ID","count.0","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,89642742,1337191,1181,1034,649235,397,584,40135,44,26,4578501,388172,4473,2819120,279955,2872,242547,9363,202,"SE33"
2,1098,0,0,0,0,0,0,0,0,0,1128,0,0,0,0,0,0,0,0,"SE32"
