"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,19832659,937069,130380,864,711491,49294,715,36342,2961,24,"SE12"
2,71635027,4286884,548233,4295,1485799,84898,1429,225149,26286,201,"SE31"
