"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","NUTS_ID"
1,270,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PL92"
2,17371885,3885308,1676171,6673,541009,113400,763,89367,19851,187,0,0,0,0,0,0,"PL62"
3,52586474,12532049,9100189,20830,1019398,723407,1660,55584,14407,82,86197,123686,221,12771,18081,18,"PL84"
