"ID","count.0","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","NUTS_ID"
1,10214759,2653662,78370,4636,179389,3490,214,61940,2373,95,"LT02"
2,26219550,2247562,581165,4787,440542,58924,840,46850,9416,99,"LT01"
