"ID","count.0","count.12111","count.12112","count.12113","count.12911","count.12912","count.12913","count.11111","count.11113","count.11911","count.11912","count.11913","count.11112","count.12311","NUTS_ID"
1,52155,42907,2,32,2468,2,3,0,0,0,0,0,0,0,"FI1D"
2,9145387,301857,154,392,3752252,1208,6075,1490,2,1408682,888,2162,0,0,"NO07"
3,61235017,23209061,12785,41205,607806,872,701,169849,230,3494,4,5,66,787,"SE33"
