"ID","count.0","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11311","count.11312","count.11313","count.11321","count.11322","count.11323","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.31111","count.31112","count.31113","count.31121","count.31122","count.31311","count.31312","count.31313","count.31911","count.31912","count.32111","count.32112","count.32113","count.32121","count.32122","count.32123","count.32311","count.32312","count.32313","count.32321","count.32322","count.32323","count.32911","count.32912","count.32913","count.32921","count.32922","count.11211","count.11212","count.11213","count.11221","count.11222","count.11921","count.11922","count.11923","count.12211","count.12212","count.12213","count.12221","count.12222","count.12223","count.31123","count.31321","count.31322","count.31323","count.32923","NUTS_ID"
1,22978834,90472,12167,223,4980,4922,35,118557,21312,388,10538,12706,29,3034,496,6,2233398,772302,5026,1688597,615375,3661,1558733,596133,3898,743681,383206,1660,7776,4637,10,9384,2745,16,13131,842,23,3,3,67006,8682,182,85,32,2688865,772599,7686,223169,124852,782,2222547,660929,6689,68237,27872,162,16625,2784,16,154,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRI2"
2,36641944,992902,461826,2153,120356,111218,420,42426,34923,177,72341,67545,248,20438,10755,57,4188845,1711449,10552,5543216,2435463,10621,2040304,830674,5989,1830956,1365545,5897,37407,19235,56,31270,12767,51,12318,17984,55,11548,19016,12958,18740,83,0,0,584698,115036,1518,106683,101698,446,843884,179408,2642,163466,167477,703,68,5,0,1886,501,63600,25551,120,351,144,876,253,3,30027,7589,46,484,152,2,64,14976,29497,74,4,"FRK1"
