"ID","count.0","count.255","count.12111","count.12112","count.12113","count.12311","count.12312","count.12911","count.12912","count.12913","count.19111","count.19911","count.19912","count.19913","count.92111","count.92112","count.92113","count.92311","count.92911","count.92912","count.92913","count.99911","count.99912","count.99913","count.99991","count.99992","count.99993","count.32111","count.32112","count.32113","count.32211","count.32212","count.32911","count.32912","count.32913","count.92211","count.92212","count.92213","count.99111","count.99112","count.99113","NUTS_ID"
1,5065338,109,46875,702,139,237,3,43607,2471,84,6,1817,51,1,7647,111,25,76,26845,869,46,28936,140,85,3264,35,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EL41"
2,1028787,2418,61,0,0,0,0,0,0,0,0,0,0,0,35365,960,98,0,1870,24,9,48054,3576,130,2747,110,4,72082,1146,197,149,13,419,11,5,933,9,5,16378,548,75,"EL42"
