"ID","count.0","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12911","count.12912","count.12913","count.12921","count.12922","NUTS_ID"
1,10038722,897134,179119,1820,11223,297,12,1135435,240042,2846,411,402,"BA01"
2,14854606,926679,112167,1531,28023,109,37,1012546,400851,1913,0,0,"BA02"
3,3770445,161048,34838,288,0,0,0,407650,161707,1115,0,0,"BA03"
4,12944657,0,0,0,0,0,0,555232,112516,1229,0,0,"HR02"
5,19888234,52472,11689,93,0,0,0,510414,148908,877,0,0,"RS12"
6,28061000,1346343,362409,1794,0,0,0,1098561,518761,1795,0,0,"RS21"
