"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11911","count.11912","NUTS_ID"
1,690130,29144,28931,55,1020,12,2,1492,250,2,0,0,0,0,0,"PL61"
2,122629,5653,1739,18,0,0,0,0,0,0,0,0,0,0,0,"PL71"
3,86383246,8174609,4045623,16539,29812,9677,54,317296,60100,526,52407,27148,100,1735,51,"PL41"
