"ID","count.0","count.11121","count.11122","count.11123","count.11921","count.11922","count.11923","count.12121","count.12122","count.12123","count.12921","count.12922","count.12923","count.31121","count.31122","count.31123","count.31921","count.31922","count.31923","count.32121","count.32122","count.32123","count.92921","count.92922","count.92121","count.92122","count.92123","count.92923","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11321","count.11322","count.11323","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.91111","count.91112","count.91911","count.91912","count.92111","count.92112","count.92113","count.92911","count.92912","count.31321","count.31322","count.32321","count.32322","count.32323","count.91113","count.92913","count.32921","count.32922","count.32923","count.32911","count.32912","count.32913","NUTS_ID"
1,784530,143032,155061,43088,6323,4973,2175,10478,4849,2848,4960,1218,2412,3144,2095,3,407,49,1,792,642,3,481,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AT34"
2,681732,0,0,0,0,0,0,40232,36726,829,2095,1116,1,0,0,0,0,0,0,16928,11520,57,952,226,7546,3347,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DE27"
3,22650170,1047054,1168602,9561,5659,6750,10,208698,261407,310,1636,2568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060924,1566360,26010,22427,36545,26,8269,8433,17,20986,15420,644,405444,760414,30860,12467,20166,34,4599,3117,8,9431,10748,6753,569,86,337,81,4154,4542,3,786,372,0,0,0,0,0,0,0,0,0,0,0,0,0,"DE13"
4,33641967,921270,501822,2596,5648,2088,3,258765,283711,1682,1237,937,7,1490,4146,7,0,0,0,79640,99064,442,0,0,0,0,0,0,1193840,1595853,5619,25285,65187,1051,1868,1000,1,7502,7672,12,1093868,2461875,57869,51251,145720,245,6480,6076,13,29478,31509,1602,779,1132,98,82,11196,7741,503,912,437,264,1442,4954,3073,55,4,195,0,0,0,0,0,0,"DE14"
5,63553,33,42,0,1234,678,1,174,471,0,3724,3881,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH03"
6,7323247,4497,3162,7,146676,200884,596,6237,5545,7,248449,313467,11439,0,0,0,55297,86478,135,0,0,0,0,0,0,0,0,0,199,558,1,0,0,0,48,279,0,5057,7461,16,2638,3348,10,0,0,0,295,416,1,30733,45479,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21237,39917,64,0,0,0,"CH04"
7,12521840,11697,17950,20,367287,367567,686,11337,11007,640,233931,335338,1823,0,0,0,287440,621915,2095,391,621,0,1060,2543,0,0,0,0,5320,11551,21,232,149,0,376,75,0,45422,62582,1380,11969,19977,28,0,0,0,41,0,0,82586,141169,3370,0,0,0,0,0,0,0,34290,68458,0,0,0,0,0,0,116,532526,1435914,2294,31692,61439,1223,"CH05"
8,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DE12"
