"ID","count.0","count.11121","count.11122","count.11123","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12121","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.31921","count.31922","count.31923","count.32921","count.32922","count.32923","count.91911","count.91912","count.91913","count.91921","count.91922","count.91923","count.92911","count.92912","count.92913","count.92921","count.92922","count.92923","count.31121","count.31122","count.31123","count.11221","count.11222","count.11223","count.11321","count.11322","count.11323","count.12122","count.12123","count.12221","count.12222","count.12321","count.12322","count.12323","count.32121","count.32122","count.32123","NUTS_ID"
1,18195130,13196,1291,26,25574,14220,54,1559784,617540,2408,38,60758,71545,231,539069,697418,1855,143257,133834,224,73405,64247,119,3293,2180,15,61578,60060,143,21199,21289,48,12548,13867,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH01"
2,13207785,51852,30024,109,20624,14778,42,2957772,1292198,4846,63,30766,23387,81,453928,447659,888,680502,607819,1112,497077,719044,923,666,194,0,2322,1164,6,1361,287,2,13066,19255,52,593,695,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH02"
3,36335128,8166150,9592420,21729,0,0,0,64207,47876,107,776277,0,0,0,12749,19258,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170913,183950,454,18938,8510,28,44423,58407,125,974449,2822,612,139,446,2185,7,557,2675,1,"FRC2"
