"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11311","count.11312","count.11911","count.11912","count.11913","count.12211","count.12212","count.12213","count.11313","NUTS_ID"
1,134488,11158,271,18,2673,4,2,1115,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRB0"
2,53703845,683899,171289,1069,835,94,2,46680,7676,67,1080933,191925,1483,586360,99854,1132,2090,55,71996,6483,127,211758,37193,351,0,"FRF2"
3,3179466,12134,2371,22,0,0,0,0,0,0,363763,88299,367,41087,10306,60,260,0,0,0,0,1349,415,1,0,"FRE2"
4,11787680,288347,25364,717,7723,80,21,26771,2365,35,187377,13281,433,159753,10090,363,214,0,8338,658,16,63490,4655,179,0,"FRC1"
5,24860125,213414,17793,319,174,164,0,54711,2542,55,1110033,153499,1537,169038,15703,241,1647,240,35791,3886,32,12661,1582,25,1,"FR10"
