"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,28081419,3156292,1492663,5098,1185167,271801,2091,92178,5251,167,"PL92"
2,4038466,533454,153374,793,102597,22937,150,1359,32,2,"PL62"
3,54363127,4302501,1639384,7905,281986,67788,428,161011,30270,309,"PL61"
