"ID","count.0","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.12211","NUTS_ID"
1,13099289,393626,343425,1752,12394,21820,46,105215,53175,188,420770,390525,1778,24122,22047,73,46539,20208,96,0,"DED5"
2,63044789,1571098,426818,9560,14315,10594,50,131583,32313,398,3548212,1358858,39029,51354,23121,85,251069,52292,410,313,"DEE0"
3,13214686,501201,117835,4652,7231,5440,25,18381,5109,24,366445,192855,1943,12946,12930,72,8096,6772,8,0,"DEG0"
