"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19911","count.255","count.19912","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","NUTS_ID"
1,32308743,3288331,75468,4773,872987,14606,1307,90509,5418,181,265,36,3,42,0,0,0,0,0,0,0,0,0,0,"SE32"
2,57781322,4322440,170926,6114,783397,12482,1174,140103,7249,199,0,0,0,56,2010,1,53834,10866,69,4608,28,4,4079,431,"SE31"
