"ID","count.0","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.31111","count.31112","count.31113","count.31311","count.31312","count.31313","count.31911","count.31912","count.31913","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","count.32911","count.32912","count.32913","count.11211","count.11213","count.12211","count.12212","count.12321","count.12322","count.12323","count.31211","count.31212","count.31213","count.32211","count.32212","count.32213","NUTS_ID"
1,27104065,2281982,69507,23801,481,6,94,1221155,25561,4872,10110,521,35,3193721,123836,96114,15945,595,4351,816480,31080,10357,41014,341,590,3096,17,245,470759,13495,1950,443575,6829,1527,2692,30,9,264266,11366,2624,194049,6624,1610,20836,711,120,0,0,0,0,0,0,0,0,0,0,0,0,0,"ES41"
2,47937738,1895380,35675,14755,0,0,0,84223,172,331,40277,506,286,7753565,158691,130960,122035,732,17765,2536409,42590,29702,248582,4011,4393,30524,183,5281,598457,34672,2495,200,9,0,18168,678,38,746929,71172,10323,506212,6269,11489,21165,1301,238,3267,12,395,1,2204,1,175,12684,645,56,829,63,1,"ES43"
3,187322,452,0,3,0,0,0,0,0,0,0,0,0,139274,2704,466,0,0,0,1813,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PT19"
