"ID","count.0","count.255","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19911","count.19912","count.19913","count.91111","count.91112","count.91113","count.91311","count.91312","count.91313","count.91911","count.91912","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99911","count.99912","count.99913","NUTS_ID"
1,87143812,83,399975,128118,822,26549,7992,63,17840,5664,28,6211300,1111231,9125,2044041,170884,2349,273690,37877,372,987,92,1,7313,571,6,11523,1752,20,692,33,2,564,307,44387,6716,49,2306,33,1,8854,1366,11,7403,877,14,4208,583,1,"SE12"
2,1325768,0,0,0,0,0,0,0,0,0,0,123644,12254,233,14201,451,16,5347,1101,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SE21"
