"ID","count.0","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,33411888,252678,3456,463,244697,3656,532,4220,219,5,4443109,195739,6502,1628983,92529,3323,89990,9318,127,"RO31"
2,50648776,577156,11680,1070,237228,4102,561,4241,754,9,5222384,101607,7327,984333,26292,1610,70174,3623,134,"RO41"
3,1494384,0,0,0,0,0,0,0,0,0,210731,269,112,0,0,0,9,0,0,"RO12"
