"ID","count.0","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11311","count.11312","count.11313","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12311","count.12312","count.12313","count.11321","count.11322","count.11911","count.11912","count.11913","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.12921","count.12923","NUTS_ID"
1,1033746,151965,45275,185,673,11,1,1274,1725,5,326609,59544,337,22525,16,18,38795,10531,51,0,0,0,0,0,0,0,0,0,0,0,0,0,"CZ05"
2,12500988,279986,70983,359,45912,222,43,24793,7837,31,2488400,519384,3168,222909,7375,269,166668,24454,202,1022,1,3113,663,15,7374,90,4,5644,1831,17,1681,1,"CZ07"
3,14869850,134434,28580,174,36688,562,31,13077,2195,21,3916107,854091,4518,12419,40,4,182488,29999,282,0,0,950,62,4,0,0,0,18767,8569,10,0,0,"CZ08"
4,13308749,198595,12673,226,0,0,0,0,0,0,1128766,87650,1637,93302,392,124,72462,2104,104,0,0,11,1,0,9016,4,20,11817,840,41,0,0,"PL51"
5,42813853,522804,65476,650,0,0,0,8726,841,1,2141213,597623,3200,0,0,0,25968,2747,20,0,0,34120,1113,60,0,0,0,79384,8680,107,0,0,"PL52"
6,541938,45,51,0,0,0,0,0,0,0,13390,16107,24,0,0,0,83,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PL22"
