"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11121","count.11123","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12121","count.12123","count.12313","NUTS_ID"
1,11581854,1608672,526513,2057,174,182,19170,15186,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HU32"
2,477216,157696,25984,200,0,0,16055,1844,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HU33"
3,62349764,16151375,866533,20536,3318144,91372,195330,24496,347,1432181,30313,1936,1627,1,1015921,41653,1636,8936,535,11,10431,7,4024,"RO11"
