"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.92311","NUTS_ID"
1,67033548,2515902,35922,3035,1919399,29096,2324,218399,4334,307,213,"FI19"
2,26544122,1174646,6499,1299,426666,2525,527,80787,333,117,0,"FI1D"
