"ID","count.0","count.255","count.11111","count.11113","count.11121","count.11122","count.11123","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.11991","count.11993","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.12991","count.19911","count.19912","count.19913","count.19921","count.19922","count.31911","count.31912","count.31913","count.31921","count.31922","count.31923","count.32911","count.32912","count.32913","count.32921","count.32922","count.32923","count.39911","count.91111","count.91113","count.91911","count.91912","count.91913","count.91921","count.91922","count.91923","count.91991","count.91993","count.92911","count.92912","count.92913","count.99911","count.99912","count.99913","count.99921","count.99923","count.99991","count.99992","count.99993","count.19111","count.19113","count.99111","count.11112","count.11311","count.11312","count.11313","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.19112","count.19311","count.19312","count.91112","count.91311","count.91312","count.91313","count.92111","count.92112","count.92113","count.92311","count.92312","count.99112","NUTS_ID"
1,36948208,2396,6344,5,18767,2,24,3851569,40543,6480,7888967,13236,12308,188,5,2181680,12888,3839,941134,2234,1540,32,2176,17,2,362,4,904111,12861,1659,1116634,4925,1836,200196,2705,392,124818,22,99,346,4039,6,159991,1049,417,175435,190,377,83,1,75533,581,125,145745,99,458,29585,41,3695,430,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AL03"
2,36599,0,5256,7,137,0,1,26436,2,33,0,0,0,0,0,0,0,0,0,0,0,0,4812,8,4,0,0,6014,4,12,0,0,0,0,0,0,0,0,0,0,696,0,525,0,1,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,1016,2,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EL54"
3,2375634,0,55579,95,0,0,0,0,0,0,0,0,0,0,0,1057,99,2,0,0,0,0,1412,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24346,29,1448,13,3,0,0,0,0,0,338,3,0,1733,104,2,0,0,31,1,0,1890,9,256,127,5170,46,11,47704,5745,143,11803,2349,62,158,188,6,17,2664,71,3,2329,4,1,424,3,1,"EL62"
