"ID","count.0","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11211","count.11212","count.11213","count.11221","count.11222","count.11223","count.11321","count.11322","count.11323","count.11911","count.11912","count.11913","count.11921","count.11922","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12211","count.12212","count.12213","count.12221","count.12222","count.12223","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.11311","count.11312","count.11313","count.11923","count.31111","count.31112","count.31113","count.31121","count.31122","count.31123","count.31211","count.31212","count.31213","count.31221","count.31222","count.31223","count.31311","count.31312","count.31313","count.31321","count.31322","count.31323","count.31911","count.31912","count.31913","count.31921","count.31922","count.31923","count.32111","count.32112","count.32113","count.32121","count.32122","count.32123","count.32211","count.32212","count.32213","count.32221","count.32222","count.32223","count.32311","count.32312","count.32313","count.32321","count.32322","count.32323","count.32911","count.32912","count.32913","count.32921","count.32922","count.32923","NUTS_ID"
1,22034296,1200094,136574,2490,2494006,80378,5333,262455,23874,569,648500,9304,1414,697,42,1,1201,11,3,937,105,200116,24220,441,663760,60957,1283,75418,2636,154,39853,856,95,972,305,1,2966,128,2,7629,220,7,2888,397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRJ1"
2,53894760,2315644,327852,5295,1402149,121759,3414,533514,50748,1026,267145,15465,545,870,1173,16,25617,2033,31,3974,400,1502603,350872,3101,2587547,688113,5199,23118,3784,39,4891,427,6,53577,22204,186,60430,25893,168,5801,1254,7,3444,1567,5,29722,8157,70,5,762240,287724,2761,160780,72112,476,29652,11261,83,12583,3690,34,24189,14560,81,35056,22319,193,2571,681,2,4408,48,5,908063,321753,2712,2718855,1410836,8806,2924,1152,7,8348,3927,20,70413,47877,357,416585,265562,2028,2557,3040,15,9326,4106,13,"FRJ2"
