"ID","count.0","count.12111","count.12112","count.12113","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11911","count.11912","count.11913","NUTS_ID"
1,850598,16568,17740,24,925,302,1,0,0,0,0,0,0,"HU23"
2,6797921,414950,164567,884,2407,2144,11,133,49,1,0,0,0,"HU33"
3,15822615,5510,1371,13,850683,300641,1984,0,0,0,11496,7404,46,"HR02"
4,71025166,31192,6337,60,2753432,888453,5252,0,0,0,16594,2508,18,"RS12"
