"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19911","count.19912","NUTS_ID"
1,55566201,8785914,1692655,118447,859768,111374,5775,186417,17942,7808,3,683,501,"PL62"
2,21268365,1709506,778794,17791,1058,1,0,95938,29890,126,0,0,0,"PL63"
3,7996993,483101,205360,5582,3205,523,3,12130,2040,31,0,0,0,"PL61"
