"ID","count.0","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","count.12911","count.12912","count.12913","count.19911","count.92111","count.92112","count.92113","count.92211","count.92212","count.92911","count.92912","count.92913","count.99911","count.99912","count.99913","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11911","count.11912","count.11913","count.19111","count.19112","count.91111","count.91112","count.91113","count.91211","count.91212","count.91213","count.91911","count.91912","count.92213","count.99111","count.99112","NUTS_ID"
1,8382317,1295384,683753,3920,14627,5551,27,72318,18924,241,52,121515,1225,220,1060,4,42750,508,69,1353,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRL0"
2,10242819,561919,77726,1228,74599,3162,157,17366,2591,30,0,88204,3935,191,14313,419,34906,768,41,876,70,2,163603,4259,269,280557,6231,490,7213,237,11,19,1,1706,152,1,5815,100,10,807,26,20,236,8,"FRJ1"
