"ID","count.0","count.255","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19311","count.19312","count.19313","count.19911","count.19912","count.19913","count.19991","count.19992","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99311","count.99312","count.99313","count.99911","count.99912","count.99913","count.99991","count.99992","count.99993","NUTS_ID"
1,7588584,2453,32319,4227,45,24878,3599,30,39142,6544,56,13427,2453,19,43670,7644,74,69300,5902,109,10,6,3572,850,3,4397,2432,11,16196,2809,19,15388,3536,25,35419,3406,59,303888,34182,475,14673,582,38,"FI1C"
2,2896843,189,0,0,0,0,0,0,0,0,0,3584,249,10,3900,690,18,7947,753,22,12,0,0,0,0,0,0,0,0,0,0,30053,3032,102,3206,9,7,131092,13281,318,7894,142,10,"FI20"
