"ID","count.0","count.255","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,23008094,1,12279,286,11,2008,17,7,927,36,1,3487381,254478,4761,426501,20481,560,28356,2868,64,"EE00"
2,32497770,0,7182325,557909,8748,153208,7945,186,42127,3176,57,5434,2,4,261,0,0,23,0,0,"LV00"
