"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,4024069,168087,2056,235,5999,16,11,7593,37,8,"SE12"
2,89511749,2864115,85153,3451,2961474,64248,3412,288851,9151,285,"SE31"
