"ID","count.0","count.11111","count.11112","count.11113","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12911","count.12912","count.12913","count.11311","count.11312","count.11313","count.12312","count.12313","count.92111","count.92112","count.92911","count.92912","count.92113","count.91111","count.91112","count.92913","NUTS_ID"
1,1789752,48812,31082,91,2333,373,12,220199,141430,272,273,1664,484,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"DEE0"
2,13312577,541469,408252,831,8123,3527,8,990568,673077,7208,32416,29206,10304,30,46228,63850,88,14032,36,5,3,65,162,0,0,0,0,"DEF0"
3,53008263,490920,351461,1982,15616,2992,19,4233501,2802042,130365,224876,99144,38187,177,25456,10718,53,52281,22726,19325,23747,0,0,44,0,0,0,"DE93"
4,6013827,85640,38602,72,5388,2407,8,704236,265644,6173,4621,48993,24915,60,1609,1162,1,2018,4,21962,17755,1035,1082,32,72,46,1,"DE60"
5,10061666,294248,189733,1761,4144,1078,7,1126908,646702,8614,32692,15774,7285,151,32360,25908,65,18042,39,0,0,0,0,0,0,0,0,"DE80"
6,151531,0,0,0,0,0,0,2597,3114,3,548,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,"DE91"
