"ID","count.0","count.255","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12111","count.12112","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.19111","count.19112","count.19113","count.19911","count.19912","count.19913","count.19991","count.91911","count.91912","count.91913","count.92911","count.92912","count.92913","count.92921","count.92922","count.92923","count.99111","count.99112","count.99911","count.99912","count.99913","count.99921","count.99922","count.99923","count.99991","count.99992","count.99993","NUTS_ID"
1,60616203,1460,448138,126562,590,35149,1180,47,121,17,2247784,756651,3194,498264,24417,473,2604,101,5,33460,5809,58,4,30387,6179,41,90768,26549,140,12694,1890,27,473,32,44370,9039,67,493,17,1,4721,26,3,"NO08"
2,20979394,4773,62220,51833,89,19,1,1,0,0,450295,206691,684,590989,94828,905,0,0,0,24475,13453,59,0,1305,534,2,44069,17722,44,0,0,0,0,0,52584,24758,85,0,0,0,1541,8,9,"NO09"
3,50780,0,0,0,0,0,0,0,260,3,68,0,0,0,0,0,1384,26,4,216,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SE23"
