"ID","count.0","count.11111","count.11112","count.12111","count.12112","count.12113","count.12311","count.12312","count.12911","count.12912","count.12913","count.12313","NUTS_ID"
1,7760175,1026,48,2275934,288986,1851,858,21,29130,6692,32,0,"HU31"
2,53766940,0,0,13960160,3000708,9627,2,113,395889,86084,589,0,"HU32"
3,14571700,0,0,2833157,725496,2529,2140,101,84838,18556,109,2,"HU33"
4,111974,0,0,58326,2845,20,0,0,3286,50,6,0,"RO11"
