"ID","count.0","count.255","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11211","count.11212","count.11213","count.11221","count.11222","count.11223","count.11311","count.11312","count.11313","count.11321","count.11322","count.11323","count.11911","count.11912","count.11913","count.11921","count.11922","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12211","count.12212","count.12213","count.12221","count.12222","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.19111","count.19112","count.19121","count.19122","count.19911","count.19912","count.19921","count.19922","count.19923","count.91111","count.91112","count.91113","count.91121","count.91311","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92911","count.92912","count.92913","count.99111","count.99112","count.99911","count.99912","count.99913","NUTS_ID"
1,54444345,92,4516695,219919,8555,609262,10435,1096,33092,717,66,936,18,2,15731,780,27,40397,519,65,62645,3197,147,1655,52,1470176,300826,3570,36234,2052,99,4650,623,9,27,1,68054,22452,317,948,177,2,70276,15223,190,264,96,1,3,2,104,14,600,34,413,39,1,54997,2906,118,1,1,3111,310,1,27565,15033,111,5161,2020,17,69,16,490,29,1,"ITF3"
2,6534033,0,1693120,34111,3171,0,0,0,153265,1255,311,0,0,0,166,17,2,0,0,0,8332,144,11,0,0,101555,5065,177,0,0,0,2648,25,4,0,0,169,0,0,0,0,0,1781,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ITF5"
