"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11311","count.11312","count.11911","NUTS_ID"
1,5560980,426404,68093,721,243449,26427,427,1764,668,4,0,0,0,0,0,0,"PL92"
2,5129696,249447,143195,495,21470,4069,51,5493,1910,12,0,0,0,0,0,0,"PL61"
3,57604004,6839906,2262052,12151,3220703,394563,6035,283755,44043,435,49492,15578,106,182,4,20,"PL71"
4,14445501,1743432,999847,4003,50959,16523,84,86460,35201,186,0,0,0,0,0,0,"PL41"
