"ID","count.0","count.11121","count.11122","count.11123","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12121","count.12122","count.12123","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.11321","count.11322","count.11323","count.12321","count.12322","count.12323","count.11111","count.11112","count.11113","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","NUTS_ID"
1,31738504,18028,141,20,209931,71715,466,2927692,96376,3015,205549,2978,215,1074190,397767,2525,6125337,343991,6080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH01"
2,2994488,0,0,0,0,0,0,1291705,28947,1354,0,0,0,0,0,0,393761,63766,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH02"
3,87787,4012,2,3,0,0,0,5967,4,10,4439,0,6,0,0,0,15869,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH07"
4,24398110,73481,8983,91,0,0,0,729,34,0,5026648,405368,6515,0,0,0,172590,15475,231,2205,4714,7,16317,18752,34,0,0,0,0,0,0,0,0,0,"ITC1"
5,15662338,241895,21042,245,0,0,0,11602,43,9,3924193,209361,4051,29285,8422,70,270754,2470,259,0,0,0,0,0,0,1020,2013,4,862036,476320,2606,689,1773,6,"ITC2"
