"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,548240,24645,9331,28,2068,70,1,526,34,0,"FI1D"
2,91722738,6709501,22529,5128,749248,2773,692,199252,2967,229,"SE33"
