"ID","count.0","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11211","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.11921","count.11923","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.19111","count.19112","count.19113","count.19311","count.19312","count.19911","count.19912","count.31111","count.31112","count.31113","count.31121","count.31122","count.31123","count.31211","count.31212","count.31221","count.31222","count.31223","count.31311","count.31312","count.31313","count.31321","count.31323","count.31911","count.31912","count.31913","count.31921","count.31922","count.31923","count.32111","count.32112","count.32113","count.32121","count.32122","count.32123","count.32211","count.32212","count.32311","count.32312","count.32313","count.32321","count.32322","count.32323","count.32911","count.32912","count.32913","count.32921","count.32922","count.32923","count.91111","count.91112","count.91113","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92121","count.92122","count.92123","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","count.99111","count.99112","count.99911","count.99912","count.99913","count.92921","count.92922","count.92923","NUTS_ID"
1,22774365,2362669,421086,4496,50003,4636,64,79,36229,7271,71,147658,28752,195,3085,9,585163,91625,1115,1443232,53131,1663,5463,516,6,86574,1968,126,38414,6410,61,8531,250,18,677,35,1,6,21,669,416,3191642,490056,7277,308476,30392,620,28,6,441,122,2,76809,23430,243,1729,2,23323,2428,59,2832,83,11,1470753,243815,3397,6748287,1032690,11836,37,1,31923,9489,127,234694,26445,381,49948,10857,104,52522,3875,73,21378,5509,28,60291,5861,68,244153,41500,476,14092,2492,22,7172,774,17,133702,16696,244,27,116,5013,183,2,0,0,0,"IE06"
2,4177157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386386,161483,949,3169182,941509,6281,0,0,35520,18833,170,32605,14675,112,1011,3663,11,8451,4214,27,0,0,0,0,0,0,38855,24691,114,48222,16456,130,11895,9296,62,22210,8183,53,0,0,0,0,0,10430,1404,15,"IE05"
