"ID","count.0","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11311","count.11312","count.11911","count.11912","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","NUTS_ID"
1,9551065,309343,8811,474,97067,3985,171,17525,625,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FI1C"
2,54231909,1520662,27799,1849,225437,5010,367,116868,1243,111,467,9,1,334,212,39,3,11369,209,13,2896,48,2,2412,3,1,"FI1D"
