"ID","count.0","count.255","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11321","count.11322","count.11323","count.11911","count.11921","count.11922","count.11923","count.12111","count.12112","count.12121","count.12122","count.12123","count.12321","count.12322","count.12323","count.12911","count.12912","count.12921","count.12922","count.12923","count.12991","count.19121","count.19122","count.19123","count.19321","count.19322","count.19921","count.19922","count.19923","count.19991","count.31111","count.31113","count.31121","count.31122","count.31123","count.31321","count.31322","count.31323","count.31911","count.31921","count.31922","count.31923","count.32111","count.32112","count.32113","count.32121","count.32122","count.32123","count.32321","count.32322","count.32323","count.32911","count.32912","count.32913","count.32921","count.32922","count.32923","count.39121","count.39122","count.39123","count.39921","count.39922","count.39923","count.91121","count.91122","count.91123","count.91921","count.91922","count.91923","count.91991","count.92121","count.92122","count.92123","count.92321","count.92322","count.92323","count.92921","count.92922","count.92923","count.92991","count.92992","count.92993","count.99121","count.99122","count.99123","count.99321","count.99921","count.99922","count.99923","count.99991","count.99992","count.99993","NUTS_ID"
1,28918643,12812,5466,678,2,4209753,154026,4901,217256,5210,243,1679,114656,6231,140,345,5,9084351,46115,10280,576604,5234,705,1416,2,407505,2438,406,2336,9252,63,4,168,19,16505,171,10,201,3363,4,19652386,936020,19431,172325,6026,177,255,116447,7091,116,5298,8,5,1377562,17278,1499,22432,807,22,1724,15,2,37388,270,15,4324,236,5,9246,109,3,286846,15085,408,264035,19228,351,4969,829565,3554,978,48064,97,62,762388,3438,751,12746,10,15,6581,131,6,108,45901,584,25,3558,1,4,"IE04"
2,504943,0,0,0,0,246388,8891,356,0,0,0,0,121794,4370,189,0,0,2354,10,1,0,0,0,0,0,0,0,0,0,222,0,0,0,0,859,31,0,0,0,0,107189,21050,191,0,0,0,0,26545,5047,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,80,0,569,59,0,99879,9932,92,20033,3120,28,0,118,0,0,0,0,0,0,0,0,0,0,0,13,60,0,0,106,52,0,0,0,0,"IE05"
