"ID","count.0","count.12111","count.12112","count.12113","count.12911","count.12912","count.12913","count.11911","count.11912","count.11913","NUTS_ID"
1,25736000,2725776,1429861,5319,100368,64142,303,0,0,0,"RO42"
2,62208981,39285,15475,111,5482945,2177715,8343,4766,608,2,"RS12"
