"ID","count.0","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11121","count.11122","count.11123","count.11221","count.11222","count.11223","count.11321","count.11322","count.11323","count.11921","count.11922","count.11923","count.12121","count.12122","count.12123","NUTS_ID"
1,35579213,7287893,598726,6951,189361,32121,238,448535,48619,310,66982,2716,93,120740,19997,162,2466,370,3,5850,2352,12,861,193,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRF2"
2,75827,80508,6127,63,0,0,0,5457,591,3,10677,607,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRF3"
3,40376412,4198636,232604,5481,80195,6285,128,50761,2918,58,37122,2049,32,339101,50534,420,1831,81,6,19867,3704,16,6199,1841,9,921553,24234,1383,925,5,1,9522,407,13,5844,18,2,1612,22,1,"FRC1"
4,7711025,610142,216181,909,0,0,0,49327,16100,64,4782,1604,3,200378,103864,254,0,0,0,33243,20775,31,14769,8853,20,11426,19762,20,0,0,0,0,0,0,0,0,0,0,0,0,"FRC2"
