"ID","count.0","count.255","count.11111","count.11112","count.11113","count.11121","count.11122","count.11211","count.11212","count.11213","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19121","count.19122","count.19311","count.19312","count.19313","count.19911","count.19912","count.19913","count.31111","count.31112","count.31113","count.31121","count.31911","count.31912","count.31913","count.32111","count.32112","count.32113","count.32911","count.32912","count.39111","count.39121","count.91111","count.91112","count.91113","count.91211","count.91212","count.91213","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92212","count.92213","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99911","count.99912","count.99913","count.11123","count.11221","count.11222","count.11321","count.11322","count.11323","count.11921","count.11922","count.11923","count.12121","count.12122","count.12123","count.12211","count.12212","count.12921","count.12922","count.12923","count.19921","count.19922","count.19991","count.19992","count.31122","count.31123","count.31321","count.31322","count.31921","count.31922","count.31923","count.39122","count.91121","count.91122","count.91123","count.91311","count.91321","count.91322","count.91323","count.91921","count.91922","count.91923","count.92121","count.92122","count.92123","count.92311","count.92312","count.92313","count.92321","count.92322","count.92921","count.92922","count.92923","count.99121","count.99122","count.99123","count.99921","count.99922","count.99923","count.99991","count.99992","count.99993","NUTS_ID"
1,2514751,1713,198323,35966,738,499,7,2391,14,7,886,252,6,7730,2650,17,71433,21109,217,3265,1168,11,11821,5738,48,12786,193,37,77,9,1118,6,3,7214,166,17,557210,139811,1815,363,212,459,3,147414,55871,651,85,21,196,54,17687,1477,69,327,271,2,3397,1097,19,4185,327,18,1450,8,803,86,3,2470,1281,14,8863,1073,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EL63"
2,11624285,224,31347,28168,142,333027,36064,12,15,0,66,22,0,1454,407,4,248645,113607,846,2,1,0,21452,5996,58,0,0,0,47,9,0,0,0,15977,2245,25,0,0,0,112616,0,0,0,0,0,0,0,0,0,0,16390,6067,19,0,0,0,6309,529,9,64636,19212,165,0,0,41389,11766,89,6029,471,8,32393,6834,60,602,58,83,2107,248,6,5465,1468,6,137933,16698,285,331,59,9117,799,27,247,30,37,8,4072,204,15,1,5435,4,16,8,256060,19911,437,16,3000,261,1,17263,1182,19,26247,6294,71,220,156,1,79,3,5447,436,15,3217,420,5,1410,257,2,325,4,3,"EL62"
