"ID","count.0","count.11111","count.11112","count.11113","count.11211","count.11911","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","count.12911","count.12912","count.12913","count.19911","count.19912","count.19913","count.92111","count.92112","count.92113","count.92911","count.92912","count.92913","count.255","count.11212","count.11213","count.11912","count.11913","count.12311","count.12312","count.12313","count.12991","count.12992","count.12993","count.19111","count.19112","count.19113","count.19311","count.19312","count.19991","count.19993","count.92191","count.92311","count.92312","count.92313","count.92991","count.92992","count.99111","count.99112","count.99113","count.99311","count.99911","count.99912","count.99913","count.99991","count.99992","NUTS_ID"
1,724542,33527,2378,56,132,245,93617,9528,162,3986,143,9,14569,1952,24,1413,577,2,2384,477,3,8805,2011,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EL51"
2,69666062,316681,32287,608,4119,6673,8075310,1017174,15595,9392,530,8,293470,64776,639,24433,10458,69,245350,39529,486,87011,18897,218,470,5,11,541,12,53081,4588,93,193,7,2,10482,4718,23,85,35,104,2,29,720,459,1,647,126,5426,1235,7,21,52493,13987,127,8,8,"EL52"
