"ID","count.0","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","NUTS_ID"
1,17395332,1886274,496664,4179,161269,5442,350,1497790,607087,3888,134148,15689,293,"BA01"
2,44273991,1756378,423566,3778,2187931,127806,2772,3644949,1095732,7791,984874,107666,1827,"BA02"
3,324655,37037,7460,103,0,0,0,16004,4596,31,0,0,0,"BA03"
4,20535624,148955,52519,323,0,0,0,1146228,895473,3526,0,0,0,"HR02"
