"ID","count.0","count.11111","count.11112","count.11113","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11911","count.11912","count.11913","count.19111","count.19112","count.19113","count.19911","count.19912","count.19913","count.31911","count.31912","count.31913","count.32911","count.32912","count.32913","count.39911","count.39912","count.39913","count.91911","count.91912","count.91913","count.92911","count.92912","count.92913","count.99911","count.99912","count.99913","count.91991","count.91992","count.92991","count.92992","count.92993","count.99991","count.99992","count.99993","NUTS_ID"
1,630942,10820,5243,36,24728,12902,68,1479,140,1,309,621,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EL51"
2,70225256,0,0,0,25301,4539,43,496,584,2,4696610,533867,7443,3029510,242751,4862,2896,468,3,35789,1212,71,597091,28996,1142,443304,29985,627,4275,180,8,283122,4094,547,28131,744,82,45068,1798,91,0,0,0,0,0,0,0,0,"TR21"
3,2968633,0,0,0,0,0,0,0,0,0,65501,6067,107,163971,8054,275,0,0,0,837,195,2,0,0,0,0,0,0,0,0,0,6531,89,11,8350,385,11,3460,384,8,1151,124,134591,992,349,93216,96,312,"TR22"
